UserID,Age,Action,Comedy,Drama,Horror,Romance,SciFi
1,20,5,2,1,1,2,5
2,22,4,3,2,1,1,5
3,24,5,2,1,2,1,4
4,23,5,1,2,1,1,5
5,21,5,2,1,1,2,5
6,25,4,2,2,2,1,4
7,26,5,1,1,1,1,5
8,27,4,2,2,1,2,4
9,22,5,2,1,2,1,5
10,24,5,1,2,1,1,5
11,42,1,5,5,2,5,1
12,45,2,4,5,1,5,1
13,40,1,5,4,2,4,2
14,48,1,5,5,2,5,1
15,50,2,4,5,1,4,2
16,44,1,5,5,2,5,1
17,41,2,5,4,2,4,2
18,46,1,4,5,1,5,2
19,43,2,5,5,2,5,1
20,47,1,5,4,2,4,2
21,30,3,3,3,3,3,3
22,31,3,4,3,3,3,2
23,35,3,3,4,2,3,3
24,34,4,3,3,3,3,3
25,32,3,3,3,3,4,3
26,33,4,3,3,2,3,3
27,36,3,4,3,3,2,3
28,38,3,3,4,3,3,2
29,37,4,3,3,3,3,3
30,39,3,3,3,2,4,3
31,19,5,5,1,4,1,5
32,20,5,4,1,5,1,5
33,21,4,5,2,5,1,4
34,22,5,4,1,4,2,5
35,23,5,5,1,5,1,5
36,24,4,4,2,4,2,4
37,25,5,5,1,5,1,5
38,26,4,5,2,4,2,4
39,27,5,4,1,5,1,5
40,28,5,5,2,4,1,5
41,52,1,2,5,1,5,1
42,54,2,2,5,1,5,1
43,55,1,3,5,2,5,1
44,53,2,2,4,1,5,2
45,56,1,2,5,1,4,1
46,58,2,3,5,2,5,1
47,60,1,2,5,1,5,2
48,57,2,2,4,2,5,1
49,59,1,3,5,1,5,1
50,61,2,2,5,2,4,1
